Absorber,Z start (m),Z Tip (m)
1,1.830,2.100
2,7.222,7.492
3,12.614,12.884
4,18.006,18.276
5,23.398,23.668
6,28.790,29.060
7,34.310,34.580
8,39.702,39.972
9,45.094,45.364
10,50.486,50.756
11,55.878,56.148
12,61.270,61.540
13,66.130,66.400
14,71.522,71.792
15,76.914,77.184
16,82.306,82.576
17,87.698,87.968
18,93.089,93.360
19,98.609,98.880
20,104.001,104.271
21,109.393,109.663
22,114.785,115.055
23,120.177,120.447
24,125.568,125.838
25,130.278,130.548
26,135.670,135.940
27,141.061,141.332
28,146.453,146.723
29,151.845,152.115
30,157.236,157.506
31,162.308,162.578
32,167.700,167.970
33,173.091,173.361
34,178.483,178.753
35,183.874,184.144
36,189.265,189.536
37,193.972,194.243
38,199.364,199.634
39,204.755,205.025
40,210.146,210.416
41,215.537,215.808
42,220.929,221.199
43,226.448,226.718
44,231.839,232.109
45,237.230,237.500
46,242.621,242.891
47,248.012,248.282
48,253.403,253.673
49,258.262,258.532
50,263.652,263.923
51,269.043,269.313
52,274.434,274.704
53,279.824,280.095
54,285.215,285.485
55,290.734,291.004
56,296.124,296.394
57,301.514,301.785
58,306.905,307.175
59,312.295,312.565
60,317.685,317.956
