Name,length (m),DIPOLE: Bending angle [rad],DIPOLE: Field (T),QUADRUPOLE: Gradient (T/m),QUADRUPOLE: K1L,Twiss s [m],start s [m],start X (m),start Theta [rad],start Z (m),Z end (m),dX [m],dY [m],dX/dS,dY/dS,beta X [m],beta Y [m],eta X [m],eta prime X,alpha X,alpha Y,Aperture Type,Aperture 1 [m],Aperture 2 [m],Aperture 3 [m],Aperture 4 [m]
CELL_U$START,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
CELL_U$START,0,,,,,0,0,0,0,0,0,-1.100228408E-08,0,1.813843357E-18,0,48.65322865,128.6544141,0.3478174234,8.239936511E-18,4.273803492E-16,3.296293773E-15,,,,,
QD1AM,0.93,,,2.083153067,-0.01273711051,0.93,0,0,0,0,0.93,-1.100228408E-08,0,1.813843357E-18,0,48.65322865,128.6544141,0.3478174234,8.239936511E-18,4.273803492E-16,3.296293773E-15,FCC_60mm,,,,
DR_01,0.15,,,,,1.08,0.93,0,0,0.93,1.08,-1.106751228E-08,0,-1.404141367E-10,0,49.24967743,127.1431407,0.3498794956,0.004438940452,-0.6438731209,1.618603682,,,,,
DL1A0_0,9.500003037,0.0008713073363,0.01395021307,,,10.58000304,1.08,0,0,1.08,10.58000183,-1.10885744E-08,0,-1.404141367E-10,0,49.44348562,126.6582002,0.3505453367,0.004438940452,-0.6481814921,1.61433305,,,,,
DS_DL1A0_0,0.17,,,,,10.75000304,10.58000304,-0.004138710909,0.0008713073363,10.58000183,10.75000177,-1.255342613E-08,0,-1.679756405E-10,0,64.35114066,98.55527703,0.3968539915,0.005310247843,-0.9210450509,1.343867318,,,,,
DL1A1_0,9.500003037,0.0008713073363,0.01395021307,,,20.25000607,10.75000304,-0.004286833137,0.0008713073363,10.75000177,20.24999639,-1.258198199E-08,0,-1.679756405E-10,0,64.66512606,98.09918495,0.3977567337,0.005310247843,-0.9259278716,1.339027227,,,,,
DS_DL1A1_0,0.17,,,,,20.42000607,20.25000608,-0.01670296272,0.001742614673,20.24999639,20.41999613,-1.430866805E-08,0,-1.955371443E-10,0,84.84996332,75.22711514,0.4523428106,0.006181555235,-1.19879143,1.068557386,,,,,
DL1A2_0,9.500003037,0.0008713073363,0.01395021307,,,29.92000911,20.42000608,-0.01699920706,0.001742614673,20.41999613,29.91997633,-1.434190936E-08,0,-1.955371443E-10,0,85.25838249,74.86462845,0.453393675,0.006181555235,-1.203674251,1.063717262,,,,,
DR_01_0,0.15,,,,,30.07000911,29.92000912,-0.0376927459,0.002613922009,29.91997633,30.06997582,-1.633042976E-08,0,-2.23098648E-10,0,110.720402,57.22348266,0.516257174,0.007052862626,-1.47653781,0.793244154,,,,,
SF2A,0.3,,,,,30.37000911,30.07000912,-0.03808483375,0.002613922009,30.06997582,30.3699748,-1.636389456E-08,0,-2.23098648E-10,0,111.1640096,56.98615002,0.5173151034,0.007052862626,-1.480846181,0.7889734345,,,,,
DR_01_1,0.15,,,,,30.52000911,30.37000912,-0.03886900946,0.002613922009,30.3699748,30.51997429,-1.643082415E-08,0,-2.230986569E-10,0,112.0551024,56.51532837,0.5194309623,0.007052863186,-1.489463044,0.7804320566,,,,,
QF2A,2.89,,,-1.409914541,0.0267890565,33.41000911,30.52000912,-0.03926109731,0.002613922009,30.51997429,33.40996442,-1.646428895E-08,0,-2.230986569E-10,0,112.5025875,56.28183936,0.5204888919,0.007052863186,-1.493771416,0.7761613368,,,,,
DR_01_2,0.15,,,,,33.56000911,33.41000912,-0.04681532331,0.002613922009,33.40996442,33.55996391,-1.646752229E-08,0,2.208755092E-10,0,112.444047,56.27544019,0.5205911088,-0.006982581809,1.513502175,-0.7738902405,,,,,
DL1A0_1,9.500003037,0.0008713073363,0.01395021307,,,43.06001215,33.56000912,-0.04720741116,0.002613922009,33.55996391,43.05992247,-1.643439096E-08,0,2.208755092E-10,0,111.9906548,56.50824654,0.5195437215,-0.006982581809,1.509112407,-0.7781520626,,,,,
DS_DL1A0_1,0.17,,,,,43.23001215,43.06001216,-0.07617834353,0.003485229345,43.05992247,43.22992144,-1.446699038E-08,0,1.933140054E-10,0,85.95869193,73.85728989,0.4573478904,-0.006111274418,1.231093687,-1.04806175,,,,,
DL1A1_1,9.500003037,0.0008713073363,0.01395021307,,,52.73001519,43.23001216,-0.07677083132,0.003485229345,43.22992144,52.72985115,-1.4434127E-08,0,1.933140054E-10,0,85.54096583,74.21445199,0.4563089737,-0.006111274418,1.226118616,-1.05289179,,,,,
DS_DL1A1_1,0.17,,,,,52.90001519,52.7300152,-0.1140191352,0.004356536681,52.72985115,52.89984954,-1.272856077E-08,0,1.657525017E-10,0,64.88588597,96.78352324,0.4023905647,-0.005239967026,0.9480998969,-1.322798259,,,,,
DL1A2_1,9.500003037,0.0008713073363,0.01395021307,,,62.40001822,52.9000152,-0.1147597441,0.004356536681,52.89984954,62.39974319,-1.270038284E-08,0,1.657525017E-10,0,64.56437776,97.23409575,0.4014997703,-0.005239967026,0.9431248261,-1.327628267,,,,,
DR_01_3,0.15,,,,,62.55001822,62.40001824,-0.1602853913,0.005227844017,62.39974319,62.54974114,-1.125665094E-08,0,1.381909979E-10,0,49.28618095,125.0231251,0.3558587834,-0.004368659635,0.6651061067,-1.597530675,,,,,
DR_01_4,0.15,,,,,62.70001822,62.55001824,-0.1610695643,0.005227844017,62.54974114,62.69973909,-1.123592229E-08,0,1.381909979E-10,0,49.08730759,125.5030236,0.3552034845,-0.004368659635,0.6607163383,-1.601792412,,,,,
SD1A,0.52,,,,,63.22001822,62.70001824,-0.1618537373,0.005227844017,62.69973909,63.21973198,-1.121519364E-08,0,1.381909979E-10,0,48.88975115,125.9842006,0.3545481855,-0.004368659635,0.6563265699,-1.606054149,,,,,
DR_01_5,0.15,,,,,63.37001822,63.22001824,-0.1645722038,0.005227844017,63.21973198,63.36972993,-1.114333432E-08,0,1.381910063E-10,0,48.21508477,127.6621795,0.3522764823,-0.004368660162,0.6411087781,-1.62082836,,,,,
QD1A,1.86,,,2.083153068,-0.02547422103,65.23001822,63.37001824,-0.1653563768,0.005227844017,63.36972993,65.22970451,-1.112260567E-08,0,1.381910063E-10,0,48.0234106,128.1490673,0.3516211832,-0.004368660162,0.6367190094,-1.625090097,,,,,
DR_01_6,0.15,,,,,65.38001822,65.23001824,-0.1750801224,0.005227844017,65.22970451,65.37970246,-1.112808381E-08,0,-1.441047179E-10,0,47.99375322,128.1253249,0.3517943649,0.00455561168,-0.6205231382,1.637652535,,,,,
DL1A0_2,9.500003037,0.0008713073363,0.01395021307,,,74.88002126,65.38001824,-0.1758642954,0.005227844017,65.37970246,74.87955284,-1.114969951E-08,0,-1.441047179E-10,0,48.18055948,127.6346758,0.3524777066,0.00455561168,-0.6248519796,1.633342022,,,,,
DS_DL1A0_2,0.17,,,,,75.05002126,74.88002128,-0.2296672513,0.006099151353,74.87955284,75.04954968,-1.264961177E-08,0,-1.716662217E-10,0,62.65726996,99.19457592,0.3998947384,0.005426919071,-0.8990119864,1.360350604,,,,,
DL1A1_2,9.500003037,0.0008713073363,0.01395021307,,,84.5500243,75.05002128,-0.2307041006,0.006099151353,75.04954968,84.54934957,-1.267879502E-08,0,-1.716662217E-10,0,62.96376806,98.73288722,0.4008173146,0.005426919071,-0.9039180066,1.355465315,,,,,
DS_DL1A1_2,0.17,,,,,84.7200243,84.55002432,-0.2927843243,0.006970458689,84.54934957,84.71934544,-1.444054161E-08,0,-1.992277254E-10,0,82.74273407,75.57248803,0.4565117685,0.006298226463,-1.178078013,1.082469737,,,,,
DL1A2_2,9.500003037,0.0008713073363,0.01395021307,,,94.22002734,84.72002432,-0.2939692927,0.006970458689,84.71934544,94.21908764,-1.447441033E-08,0,-1.992277254E-10,0,83.14411462,75.20527882,0.457582467,0.006298226463,-1.182984034,1.077584415,,,,,
DR_01_7,0.15,,,,,94.37002734,94.22002736,-0.3643267372,0.007841766025,94.21908764,94.36908303,-1.649799125E-08,0,-2.267892292E-10,0,108.2253362,57.32465187,0.5215543429,0.007169533854,-1.457144041,0.8045855271,,,,,
SF1A,0.3,,,,,94.67002734,94.37002736,-0.36550299,0.007841766025,94.36908303,94.66907381,-1.653200964E-08,0,-2.267892292E-10,0,108.6631287,57.0839228,0.522629773,0.007169533854,-1.461472882,0.8002749265,,,,,
DR_01_8,0.15,,,,,94.82002734,94.67002736,-0.3678554957,0.007841766025,94.66907381,94.8190692,-1.660004641E-08,0,-2.267892417E-10,0,109.5426098,56.60634418,0.5247806333,0.007169534646,-1.47013073,0.7916538109,,,,,
QF2A_0,2.89,,,-1.409914541,0.0267890565,97.71002734,94.82002736,-0.3690317485,0.007841766025,94.8190692,97.70898034,-1.663406479E-08,0,-2.267892417E-10,0,109.9842983,56.36949463,0.5258560636,0.007169534646,-1.474459572,0.7873432099,,,,,
DR_01_9,0.15,,,,,97.86002734,97.71002736,-0.39169422,0.007841766025,97.70898034,97.85897573,-1.664129706E-08,0,2.218165433E-10,0,110.0109058,56.30431811,0.5260846998,-0.007012331026,1.465491657,-0.7642117594,,,,,
DL1A0_3,9.500003037,0.0008713073363,0.01395021307,,,107.3600304,97.86002736,-0.3928704728,0.007841766025,97.85897573,107.358653,-1.660802458E-08,0,2.218165433E-10,0,109.5719021,56.53421464,0.5250328501,-0.007012331026,1.461199811,-0.7684317367,,,,,
DS_DL1A0_3,0.17,,,,,107.5300304,107.3600304,-0.4715050846,0.008713073361,107.358653,107.5286465,-1.463168418E-08,0,1.942550395E-10,0,84.39136203,73.67339512,0.4625544014,-0.006141023634,1.189382843,-1.035691262,,,,,
DL1A1_3,9.500003037,0.0008713073363,0.01395021307,,,117.0300334,107.5300304,-0.4729862883,0.008713073361,107.5286465,117.0282517,-1.459866082E-08,0,1.942550395E-10,0,83.98779876,74.02634319,0.4615104274,-0.006141023634,1.184518751,-1.040473879,,,,,
DS_DL1A1_3,0.17,,,,,117.2000334,117.0300334,-0.5598980077,0.009584380697,117.0282517,117.1982439,-1.288415476E-08,0,1.666935358E-10,0,64.06419984,96.33429777,0.4073094008,-0.005269716243,0.9127017833,-1.307730224,,,,,
